Metric,Pearson,Spearman
avg_blockiness,-0.155957318,-0.116337829
max_blockiness,-0.158969044,-0.093389702
min_blockiness,-0.099605812,-0.134951937
avg_blur,0.116608492,0.124156367
max_blur,0.076165839,0.07423929
min_blur,0.13346467,0.168017193
avg_contrast,-0.135157618,-0.148284017
max_contrast,-0.173524872,-0.267263258
min_contrast,-0.032935544,-0.034351719
avg_color,-0.049428772,-0.05034957
max_color,-0.133320966,-0.102667557
min_color,0.039137166,0.062448025
avg_ltp,-0.060511897,0.01749116
max_ltp,-0.142983043,-0.038850251
min_ltp,0.074507545,0.06275709
avg_noise,0.137936273,0.194319019
max_noise,0.079414841,0.073933327
min_noise,0.239750451,0.210623744
avg_brisque,-0.292263228,-0.362950976
max_brisque,-0.380865225,-0.466001406
min_brisque,-0.163251899,-0.170447275
avg_flickering_agh,-0.211368933,-0.219298002
avg_blockiness_agh,0.136439551,0.102943459
avg_letterBox_agh,nan,nan
avg_pillarBox_agh,0.012837225,0.017212577
avg_blockloss_agh,-0.372357646,-0.428189677
avg_blur_agh,-0.261452586,-0.168427026
avg_blackout_agh,nan,nan
avg_freezing_agh,-0.052713384,-0.013862811
avg_exposure_agh,-0.003104196,-0.075306268
avg_contrast_agh,0.310947105,0.287741145
avg_interlace_agh,-0.095939542,-0.004866333
avg_noise_agh,0.072632673,0.070777258
avg_si_agh,0.112551408,0.105952477
avg_ti_agh,0.151279714,0.140995458
,,
MAX,0.310947105,0.287741145
MIN,-0.380865225,-0.466001406
